,city,title,url
97,Palm Springs,Shadow Mountain Gem & Mineral Society,http://www.shadowmountaingemmineral.org/
98,Redding,Shasta Gem & Mineral Society,http://www.shastagemandmineral.com/
99,Newhall,Sierra Pelona Rock Club,http://www.sierrapelona.com/
100,Torrance,South Bay Lapidary & Mineral Society,https://southbaylapidaryandmineralsociety.com/
101,San Clemente,South Orange County Gem & Mineral Society,https://www.facebook.com/South-Orange-County-Gem-Mineral-Society-255366124502612/
102,Los Angeles,Southern California Paleontological Society,http://socalpaleo.com/
103,Stockton,Stockton Lapidary & Mineral Club,http://www.stocktonlapidary.com/
104,Marysville,Sutter Buttes Gem & Mineral Society,https://sutterbuttesgemmin.org/
105,Tehachapi,Tehachapi Valley Gem & Mineral Society,http://www.tvgms.org/
106,Farmersville,Tule Gem and Mineral Society,http://www.tulegem.com/
107,Vallejo,Vallejo Gem & Mineral Society,http://www.vjgems.org/
108,San Bernardino,"Valley Prospectors, Inc.",https://www.valleyprospectors.com/
109,Ventura,"Ventura Gem & Mineral Society, Inc",http://vgms.org/
110,Victorville,Victor Valley Gem and Mineral Club,http://www.vvgmc.org/
111,Vista,Vista Gem & Mineral Society,http://www.vistarocks.org/
112,Garden Grove,West Coast Prospectors & Treasure Hunters Association,http://westcoasters.org/
113,Norco,West End Prospectors Corporation,http://www.wepcgold.com
114,Whittier,"Whittier Gem and Mineral Society, Inc.",http://wgmsca.com/index.html
115,San Fernando Valley,"Woodland Hills Rock Chippers, Inc.",http://www.rockchippers.org/
116,Yucaipa,Yucaipa Valley Gem & Mineral Society,http://www.yvgms.org/wiki/
117,Canon City,Canon City Geology Club,http://www.canoncitygeologyclub.com/
118,Frisco,Colorado Gold Camp,http://coloradogoldcamp.com/
119,Lakewood,Colorado Mineral Society,http://www.coloradomineralsociety.org/
120,Alamosa,Colorado Prospector,http://www.coloradoprospector.com/
121,Colorado Springs,Colorado Springs Mineral Society,http://www.csms1936.com/
122,Salida,Columbine Gem and Mineral Society,http://rockaholics.org/
123,Denver,Denver Gem and Mineral Guild,http://denvergem.org/index.html
124,Boulder,Flatirons Mineral Club,http://flatironsmineralclub.org/
125,Fort Collins,Fort Collins Rockhounds,http://www.fortcollinsrockhounds.org/
126,Durango,Four Corners Gem & Mineral Club,http://www.durangorocks.org/
127,Denver,Friends of Mineralogy - Colorado Chapter ,http://friendsofmineralogycolorado.org/
128,Grand Junction,Grand Junction Gem & Mineral Club,http://www.grandjunctionrockclub.org/
129,Lake George,Lake George Gem & Mineral club,http://www.lggmclub.org/
130,Littleton,"Littleton Gem and Mineral Club, Inc.",http://littletongemandmineralclub.com/
131,Arvada,Mile High Rock and Mineral Society,http://www.milehirams.com/
132,Arvada,North Jeffco Gem & Mineral Club,http://www.peaktopeak.com/njeffco/index.php
133,Pueblo,Pueblo Rockhounds,http://www.pueblorockhounds.org/
134,Denver,Western Interior Paleontological Society,http://www.westernpaleo.org/
135,Bristol,Bristol Gem & Mineral Club,http://bristolgem.org/
136,Danbury,Danbury Mineralogical Society,http://danburymineralogicalsociety.weebly.com/
